DTS ID,Module ID,Linked Variables,Section IDs,GUI Link,Threshold Link,Title
216,,BASIN_USE_FTHR_SWP_WR,ST,N/A,N/A,Water Right Contacts
217,,BASIN_USE_AMRCN_MISC,ST,N/A,N/A,American River Basin (excess flows diversion by Sacramento County WA)
218,,BASIN_USE_FTHR_MISC,ST,N/A,N/A,Feather River below Oroville (Yuba County WA%2C Camp Far West ID%2C DSA 70 Exports)
219,,,ST,N/A,N/A,
220,,EXPORT_TRACY,ST,N/A,N/A,
221,,EXPORT_CCWD,ST,N/A,N/A,
222,,EXPORT_FRWP,ST,N/A,N/A,
223,,,ST,N/A,N/A,
224,,EXPORT_CVC_BANKS,ST,N/A,N/A,Cross Valley Canal
225,,EXPORT_OtherCVP_BANKS,ST,N/A,N/A,Other CVP Wheeling
226,,RS_EC_STATUS_DTS/DTS-STATUS,ST,N/A,N/A,
227,,EM_EC_STATUS_DTS/DTS-STATUS,ST,N/A,N/A,
228,,JP_EC_STATUS_DTS/DTS-STATUS,ST,N/A,N/A,
229,,CO_EC_STATUS_DTS/DTS-STATUS,ST,N/A,N/A,
230,,,ST,N/A,N/A,
231,,EXPORT_NBA,ST,N/A,N/A,
232,,EXPORT_WTS,ST,N/A,N/A,
233,,,ST,N/A,N/A,
234,,,ST,N/A,N/A,
235,,BASIN_USE_DELTA_DICU,ST,N/A,N/A,
236,,BASIN_USE_DELTA_REQ_DO,ST,N/A,N/A,
237,,BASIN_USE_DELTA_OTHER,ST,N/A,N/A,
238,,,ST,N/A,N/A,
239,,,ST,N/A,N/A,
240,,,ST,N/A,N/A,
241,,SutterBypass_Weirs_TOT_DTS/DTS-STATUS,ST,N/A,N/A,Total Sutter Bypass Spills
242,,YoloBypass_Weirs_TOT_DTS/DTS-STATUS,ST,N/A,N/A,Total Yolo Bypass Spills
243,,C406,ST,N/A,N/A,Total Delta Outflow by Use
244,,del_cvp_pag_n_,ST,N/A,N/A,Ag Service Areas
245,,del_cvp_pmi_n_,ST,N/A,N/A,MI Service Areas
246,,del_cvp_prf_n_,ST,N/A,N/A,Refuge
247,,del_cvp_psc_n_,ST,N/A,N/A,Settlement Contractors
248,,del_cvp_pag_s_,ST,N/A,N/A,Ag Service Areas
249,,del_cvp_pmi_s_,ST,N/A,N/A,MI Service Areas
250,,del_cvp_prf_s_,ST,N/A,N/A,Refuge
251,,del_cvp_pex_s_,ST,N/A,N/A,Exchange Contractors
252,,short_cvp_pag_n_,ST,N/A,N/A,Ag Service Areas
253,,short_cvp_pmi_n_,ST,N/A,N/A,MI Service Areas
254,,short_cvp_prf_n_,ST,N/A,N/A,Refuge
255,,short_cvp_psc_N_,ST,N/A,N/A,Settlement Contractors
256,,short_cvp_pag_s_,ST,N/A,N/A,Ag Service Areas
257,,short_cvp_pmi_s_,ST,N/A,N/A,MI Service Areas
258,,short_cvp_prf_s_,ST,N/A,N/A,Refuge
259,,short_cvp_pex_s_,ST,N/A,N/A,Exchange Contractors
260,,SWP_TA_FEATH,ST,N/A,N/A,Table A (without Article 56)
261,,SWP_FRSA,ST,N/A,N/A,FRSA Contractors
262,,D7C,ST,N/A,N/A,Rice Decomp/Winter Water (Oct - Jan)
263,,SWP_TA_SOD_DEL_DV,ST,N/A,N/A,Table A (without Article 56)
264,,SWP_IN_Total,ST,N/A,N/A,Article 21
265,,SWP_CO_Total,ST,N/A,N/A,Article 56
266,,SHORT_SWP_PMI_N,ST,N/A,N/A,Table A
267,,SHORT_SWP_PAG_N,ST,N/A,N/A,FRSA Contractors
268,,SHORT_SOD_TA_DV,ST,N/A,N/A,Table A
269,,NOD_CVP_SWP_STORAGE_DTS/STORAGE,ST,N/A,N/A,North of Delta
270,,San_Luis_Tot/STORAGE,ST,N/A,N/A,San Luis
271,,,ST,N/A,N/A,
272,,,ST,N/A,N/A,
273,,CVProject_DV,ST,N/A,N/A,Central Vallery Project
274,,SWProject_DV,ST,N/A,N/A,State Water Project
275,,Water_Transfer_DV,ST,N/A,N/A,Total Water Transfers
276,,,ST,N/A,N/A,
277,,DELTA_C400MIF_CTRL_DTS/DTS-STATUS,ST,N/A,N/A,Upstream MIF
278,,DELTA_C157MIF_CTRL_DTS/DTS-STATUS,ST,N/A,N/A,ANN Controlled
279,,DCC_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
280,,,ST,N/A,N/A,COA Placeholder
281,,,ST,N/A,N/A,COA Placeholder
282,,,ST,N/A,N/A,COA Placeholder
283,,,ST,N/A,N/A,COA Placeholder
284,,,ST,N/A,N/A,
